geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1121,-23.52458848,-46.63439214,sao paulo,SP
1141,-23.5201192,-46.66584,são paulo,SP
1125,-23.5290505,-46.63889432,sao paulo,SP
1102,-23.52261022,-46.62942388,são paulo,SP
1127,-23.52773504,-46.64480016,sao paulo,SP
1137,-23.51957274,-46.65427157,são paulo,SP
1135,-23.52122103,-46.65296293,sao paulo,SP
1138,-23.51882541,-46.6556236,sao paulo,SP
1128,-23.52296857,-46.64174928,sao paulo,SP
1109,-23.52535537,-46.62754223,sao paulo,SP
1132,-23.5192918,-46.6498009,sao paulo,SP
1108,-23.52375958,-46.63241545,sao paulo,SP
1107,-23.5220049,-46.63397366,sao paulo,SP
1154,-23.53158118,-46.66174681,sao paulo,SP
1152,-23.52916893,-46.65214846,sao paulo,SP
1134,-23.51867681,-46.65311591,são paulo,SP
1144,-23.52362351,-46.6720158,sao paulo,SP
1129,-23.52592375,-46.64213178,sao paulo,SP
1105,-23.53374423,-46.63063486,sao paulo,SP
1126,-23.52915073,-46.64042336,sao paulo,SP
1142,-23.51993431,-46.62513002,sao paulo,SP
1133,-23.52259111,-46.65104901,sao paulo,SP
1101,-23.53371859,-46.63327836,sao paulo,SP
1189,-23.53210826,-46.6383947,sao paulo,SP
1202,-23.5302439,-46.65091042,são paulo,SP
1230,-23.53273473,-46.65432445,sao paulo,SP
1221,-23.54601533,-46.64900196,sao paulo,SP
1217,-23.53384477,-46.64940664,sao paulo,SP
1243,-23.54946978,-46.6550983,sao paulo,SP
1203,-23.53711938,-46.64438744,sao paulo,SP
1214,-23.53569581,-46.64141314,sao paulo,SP
1257,-23.54507217,-46.68438058,sao paulo,SP
1231,-23.53670816,-46.65964184,sao paulo,SP
1216,-23.53597286,-46.651407,sao paulo,SP
1226,-23.53447857,-46.65502762,são paulo,SP
1220,-23.542758,-46.64547398,sao paulo,SP
1223,-23.54377252,-46.648273,sao paulo,SP
1213,-23.53640028,-46.64003759,sao paulo,SP
1227,-23.53729012,-46.6544309,sao paulo,SP
1240,-23.54378694,-46.65861209,sao paulo,SP
1258,-23.5449931,-46.68559718,sao paulo,SP
1222,-23.54715958,-46.64989461,são paulo,SP
1211,-23.53582224,-46.65160505,sao paulo,SP
1244,-23.54499336,-46.65968022,sao paulo,SP
1238,-23.54195269,-46.65931762,sao paulo,SP
1204,-23.53680115,-46.64441627,sao paulo,SP
1234,-23.5370555,-46.66361722,sao paulo,SP
1228,-23.5483928,-46.65901834,sao paulo,SP
1224,-23.54171855,-46.64883066,sao paulo,SP
1229,-23.54108734,-46.6573392,sao paulo,SP
1232,-23.53676737,-46.65507313,sao paulo,SP
1218,-23.53154468,-46.65066867,são paulo,SP
1215,-23.5379823,-46.64927618,são paulo,SP
1239,-23.54878169,-46.65745981,sao paulo,SP
1205,-23.53176047,-46.64592571,são paulo,SP
1201,-23.53435726,-46.6493563,sao paulo,SP
1259,-23.54335653,-46.68394637,sao paulo,SP
1210,-23.54086099,-46.64385528,são paulo,SP
1249,-23.54756595,-46.66977043,sao paulo,SP
1212,-23.53751126,-46.63705731,são paulo,SP
1248,-23.54730755,-46.66789155,sao paulo,SP
1233,-23.54029947,-46.66278361,sao paulo,SP
1219,-23.54022357,-46.64527714,sao paulo,SP
1235,-23.53645972,-46.66424679,sao paulo,SP
1209,-23.53944676,-46.63937834,sao paulo,SP
1236,-23.5416922,-46.66747263,sao paulo,SP
1206,-23.5355358,-46.64305203,sao paulo,SP
1207,-23.53684062,-46.64039304,sao paulo,SP
1251,-23.54700826,-46.67399274,são paulo,SP
1242,-23.54752663,-46.65580327,sao paulo,SP
1241,-23.54567661,-46.65699347,são paulo,SP
1208,-23.54082251,-46.63971471,sao paulo,SP
1254,-23.54196785,-46.68191419,são paulo,SP
1255,-23.54578246,-46.68119826,sao paulo,SP
1245,-23.54929681,-46.66359455,são paulo,SP
1225,-23.54064715,-46.64825178,sao paulo,SP
1252,-23.54173205,-46.67710842,sao paulo,SP
1237,-23.54431769,-46.6698228,sao paulo,SP
1200,-23.53156777,-46.64986908,sao paulo,SP
1250,-23.54810634,-46.67255084,sao paulo,SP
1247,-23.55134173,-46.66937701,são paulo,SP
1246,-23.55259069,-46.66640488,sao paulo,SP
1262,-23.55085639,-46.67735185,sao paulo,SP
1253,-23.54320797,-46.6802447,sao paulo,SP
1290,-23.54096134,-46.6577487,são paulo,SP
1256,-23.54856754,-46.68329305,são paulo,SP
1303,-23.55001133,-46.64818241,sao paulo,SP
1309,-23.55732369,-46.65692891,são paulo,SP
1310,-23.55692691,-46.66154179,sao paulo,SP
1323,-23.56360093,-46.64096892,sao paulo,SP
1321,-23.55896104,-46.64089189,sao paulo,SP
1333,-23.56356994,-46.65184217,sao paulo,SP
1314,-23.55027122,-46.64153043,sao paulo,SP
1331,-23.56232752,-46.65032774,sao paulo,SP
1307,-23.5493607,-46.65412442,sao paulo,SP
1318,-23.5650381,-46.64731634,sao paulo,SP
1322,-23.5641899,-46.64356964,sao paulo,SP
1308,-23.55518251,-46.65226234,sao paulo,SP
1306,-23.5543338,-46.64967364,sao paulo,SP
1301,-23.5508128,-46.65525803,sao paulo,SP
1302,-23.54765096,-46.64357748,sao paulo,SP
1312,-23.55364601,-46.64827785,sao paulo,SP
1319,-23.55156261,-46.64021297,são paulo,SP
1316,-23.55298158,-46.63977389,sao paulo,SP
1317,-23.56281095,-46.64538049,sao paulo,SP
1313,-23.55651329,-46.6502532,sao paulo,SP
1324,-23.55135945,-46.64339075,sao paulo,SP
1327,-23.5652193,-46.64515173,sao paulo,SP
1304,-23.55217945,-46.652992,sao paulo,SP
1332,-23.5598746,-46.65312716,sao paulo,SP
1326,-23.55890829,-46.64517208,sao paulo,SP
1315,-23.55259299,-46.64068339,sao paulo,SP
1325,-23.56040415,-46.6440907,sao paulo,SP
1329,-23.56314574,-46.6466188,sao paulo,SP
1330,-23.55681762,-46.64986084,sao paulo,SP
1311,-23.56056636,-46.65761043,sao paulo,SP
1305,-23.55608305,-46.65802268,sao paulo,SP
1320,-23.55733794,-46.63877749,sao paulo,SP
1328,-23.55542941,-46.64533779,sao paulo,SP
1402,-23.58406691,-46.66998067,sao paulo,SP
1421,-23.56233151,-46.66120425,são paulo,SP
1403,-23.57034736,-46.653151,são paulo,SP
1409,-23.56136643,-46.65759387,sao paulo,SP
1411,-23.56854685,-46.66483314,sao paulo,SP
1452,-23.56883153,-46.69199439,sao paulo,SP
1423,-23.5689182,-46.65699514,sao paulo,SP
1417,-23.48850963,-46.71460628,sao paulo,SP
1408,-23.56943871,-46.66342129,sao paulo,SP
1455,-23.5806907,-46.68751888,sao paulo,SP
1401,-23.56974757,-46.65100357,sao paulo,SP
1410,-23.55859574,-46.65657076,sao paulo,SP
1453,-23.58343566,-46.6864627,sao paulo,SP
1415,-23.55184004,-46.6545531,sao paulo,SP
1416,-23.55951039,-46.6670639,sao paulo,SP
1445,-23.56834638,-46.68910543,sao paulo,SP
1424,-23.56816236,-46.66117893,sao paulo,SP
1422,-23.55978442,-46.66607926,sao paulo,SP
1419,-23.557768,-46.66267335,sao paulo,SP
1414,-23.56362277,-46.66760382,são paulo,SP
1420,-23.56851814,-46.65191533,sao paulo,SP
1451,-23.58348907,-46.68508055,sao paulo,SP
1446,-23.57569278,-46.67656976,sao paulo,SP
1406,-23.56582007,-46.65801074,são paulo,SP
1454,-23.58214887,-46.68638063,sao paulo,SP
1426,-23.56259715,-46.66968808,sao paulo,SP
1413,-23.55863183,-46.66070143,são paulo,SP
1433,-23.58188489,-46.6684868,são paulo,SP
1427,-23.57351512,-46.66112293,são paulo,SP
1405,-23.56696412,-46.65698271,sao paulo,SP
1435,-23.57968191,-46.66963177,sao paulo,SP
1449,-23.5762922,-46.6814231,sao paulo,SP
1425,-23.57233035,-46.66082328,sao paulo,SP
1430,-23.88162935,-46.6438188,sao paulo,SP
1404,-23.56994327,-46.6570937,sao paulo,SP
1442,-23.56370227,-46.67529086,sao paulo,SP
1407,-23.5784801,-46.67516751,sao paulo,SP
1418,-23.56312174,-46.65656671,sao paulo,SP
1472,-23.57054369,-46.69129668,sao paulo,SP
1443,-23.56750865,-46.68471806,sao paulo,SP
1428,-23.57646147,-46.65933149,sao paulo,SP
1434,-23.57791701,-46.6694526,sao paulo,SP
1457,-23.5788355,-46.6909282,sao paulo,SP
1412,-23.56442334,-46.66684085,são paulo,SP
1448,-23.5774167,-46.67817482,sao paulo,SP
1456,-23.57850416,-46.6901183,sao paulo,SP
1432,-23.57442069,-46.66422199,sao paulo,SP
1441,-23.5756567,-46.68951883,são paulo,SP
1489,-23.57664999,-46.68740005,sao paulo,SP
1429,-23.57524109,-46.66307398,são paulo,SP
1450,-23.57492548,-46.685052,sao paulo,SP
1440,-23.56448528,-46.67441861,sao paulo,SP
1438,-23.57032558,-46.67299258,sao paulo,SP
1444,-23.60567566,-46.74544468,sao paulo,SP
1436,-23.5726508,-46.66771705,sao paulo,SP
1447,-23.57251768,-46.68071077,sao paulo,SP
1439,-23.56628327,-46.67340369,sao paulo,SP
1431,-23.57816664,-46.66288282,sao paulo,SP
1437,-23.57095472,-46.66969643,sao paulo,SP
1526,-23.56690213,-46.6300592,sao paulo,SP
1509,-23.56759053,-46.63545151,sao paulo,SP
1504,-23.56375858,-46.6389921,sao paulo,SP
1536,-23.56253963,-46.62234397,sao paulo,SP
1535,-23.56961802,-46.62490078,sao paulo,SP
1511,-23.55568231,-46.63309991,sao paulo,SP
1534,-23.5628474,-46.62391126,sao paulo,SP
1514,-23.55306435,-46.62768626,sao paulo,SP
1529,-23.56935316,-46.63690014,sao paulo,SP
1539,-23.57378256,-46.62058067,sao paulo,SP
1532,-23.57206085,-46.63613684,sao paulo,SP
1542,-23.57081105,-46.62114561,sao paulo,SP
1548,-23.57834656,-46.61471087,sao paulo,SP
1543,-23.57575585,-46.62009626,sao paulo,SP
1544,-23.5769225,-46.62291192,sao paulo,SP
1546,-23.57625295,-46.62235968,são paulo,SP
1523,-23.56366379,-46.61929091,sao paulo,SP
1506,-23.56180273,-46.63479183,são paulo,SP
1518,-23.55893044,-46.62292374,sao paulo,SP
1510,-23.55619866,-46.63344748,sao paulo,SP
1537,-23.56902278,-46.62199067,sao paulo,SP
1531,-23.57012417,-46.63265516,sao paulo,SP
1549,-23.57732127,-46.61708485,sao paulo,SP
1533,-23.57219854,-46.6391311,sao paulo,SP
1525,-23.5670089,-46.63752875,sao paulo,SP
1520,-23.55923867,-46.61831888,sao paulo,SP
1550,-23.57203616,-46.61521227,sao paulo,SP
1503,-23.55548824,-46.63559924,são paulo,SP
1541,-23.5687223,-46.61880092,sao paulo,SP
1545,-23.58137306,-46.61787583,sao paulo,SP
1522,-23.55916467,-46.61546692,sao paulo,SP
1508,-23.56014607,-46.63334613,sao paulo,SP
1519,-23.56007529,-46.6218299,sao paulo,SP
1547,-23.58202355,-46.62322245,sao paulo,SP
1538,-23.573205,-46.62290025,são paulo,SP
1501,-23.55193148,-46.6356909,são paulo,SP
1521,-23.56012382,-46.62080822,sao paulo,SP
1530,-23.58614539,-46.72796029,sao paulo,SP
1505,-23.55539651,-46.63286103,são paulo,SP
1502,-23.55498325,-46.63569905,sao paulo,SP
1551,-23.57664938,-46.61216233,sao paulo,SP
1540,-23.5646142,-46.6204983,sao paulo,SP
1528,-23.56326862,-46.62567807,sao paulo,SP
1513,-23.55689555,-46.6310037,sao paulo,SP
1527,-23.56314456,-46.62658014,sao paulo,SP
1524,-23.56704554,-46.616112,sao paulo,SP
1507,-23.55819745,-46.63164908,são paulo,SP
1512,-23.5536449,-46.6326189,sao paulo,SP
1552,-23.5738359,-46.61101337,sao paulo,SP
1553,-23.57430308,-46.60968254,sao paulo,SP
1516,-23.55948466,-46.61446206,sao paulo,SP
1517,-23.56024793,-46.62483145,sao paulo,SP
2019,-23.498262,-46.62855054,sao paulo,SP
2069,-23.50688764,-46.61434088,sao paulo,SP
2067,-23.50589562,-46.60638997,sao paulo,SP
2020,-23.49908392,-46.63226647,sao paulo,SP
2075,-23.50202851,-46.60034967,sao paulo,SP
2012,-23.50836123,-46.62752419,sao paulo,SP
2076,-23.50692178,-46.59894961,sao paulo,SP
2035,-23.500395,-46.62233251,são paulo,SP
2034,-23.50412274,-46.62460753,sao paulo,SP
2022,-23.50623787,-46.64043239,são paulo,SP
2021,-23.49943999,-46.63380353,sao paulo,SP
2080,-23.49781772,-46.60657423,sao paulo,SP
2066,-23.50875908,-46.60297304,sao paulo,SP
2085,-23.49744368,-46.61260909,sao paulo,SP
2030,-23.50476958,-46.62470303,sao paulo,SP
2064,-23.51980758,-46.59604573,sao paulo,SP
2029,-23.51093659,-46.62008934,sao paulo,SP
2060,-23.51886128,-46.6038228,sao paulo,SP
2054,-23.51636255,-46.6056925,sao paulo,SP
2072,-23.50081051,-46.60427196,sao paulo,SP
2017,-23.50138125,-46.63920651,são paulo,SP
2018,-23.49351105,-46.63106708,sao paulo,SP
2043,-23.49022304,-46.61732559,sao paulo,SP
2074,-23.50907581,-46.59346384,sao paulo,SP
2038,-23.49857049,-46.62335346,sao paulo,SP
2016,-23.50097763,-46.62712333,sao paulo,SP
2040,-23.48902299,-46.6218669,sao paulo,SP
2056,-23.51064064,-46.60409341,são paulo,SP
2051,-23.51226774,-46.60874803,sao paulo,SP
2041,-23.49010232,-46.61972999,sao paulo,SP
2039,-23.49231066,-46.62052862,sao paulo,SP
2073,-23.50123032,-46.60751038,sao paulo,SP
2082,-23.49467073,-46.60965312,sao paulo,SP
2033,-23.50215379,-46.61688101,sao paulo,SP
2013,-23.50308575,-46.63382294,sao paulo,SP
2079,-23.50036683,-46.6026406,sao paulo,SP
2037,-23.49998652,-46.61873041,sao paulo,SP
2083,-23.49552086,-46.59927427,sao paulo,SP
2068,-23.50320809,-46.61302451,sao paulo,SP
2071,-23.50313754,-46.60968448,sao paulo,SP
2047,-23.51836389,-46.61420873,sao paulo,SP
2078,-23.50246061,-46.59374589,sao paulo,SP
2044,-23.49568082,-46.61894671,sao paulo,SP
2084,-23.49567503,-46.59947757,sao paulo,SP
2055,-23.51295294,-46.60830247,sao paulo,SP
2042,-23.4880224,-46.6190015,sao paulo,SP
2045,-23.49440602,-46.61732055,sao paulo,SP
2036,-23.5021075,-46.62196128,sao paulo,SP
2046,-23.48774785,-46.61152878,sao paulo,SP
2010,-23.51492956,-46.62640583,são paulo,SP
2081,-23.49664722,-46.60503619,sao paulo,SP
2050,-23.5165435,-46.61056316,são paulo,SP
2052,-23.50946693,-46.6068675,sao paulo,SP
2031,-23.515069,-46.62531652,sao paulo,SP
2028,-23.50751845,-46.61747075,sao paulo,SP
2065,-23.50172637,-46.60239776,sao paulo,SP
2077,-23.50100111,-46.59626328,sao paulo,SP
2011,-23.50190277,-46.62622917,sao paulo,SP
2049,-23.51497582,-46.61611265,são paulo,SP
2032,-23.51077695,-46.62390843,sao paulo,SP
2053,-23.51042744,-46.6011795,sao paulo,SP
2009,-23.5157991,-46.64113909,sao paulo,SP
2089,-23.51709448,-46.6166731,sao paulo,SP
2088,-23.50424026,-46.62074207,sao paulo,SP
2150,-23.4957502,-46.56850789,sao paulo,SP
2133,-23.50029146,-46.58561516,sao paulo,SP
2167,-23.52290395,-46.5818041,sao paulo,SP
2130,-23.50810094,-46.58282425,são paulo,SP
2188,-23.50750947,-46.56565714,sao paulo,SP
2152,-23.49815871,-46.57321173,são paulo,SP
2138,-23.4956516,-46.57582723,sao paulo,SP
2134,-23.49931808,-46.57812437,sao paulo,SP
2176,-23.51226784,-46.57370473,sao paulo,SP
2117,-23.52019456,-46.59353893,sao paulo,SP
2119,-23.51359387,-46.59299116,sao paulo,SP
2131,-23.50281071,-46.58176193,sao paulo,SP
2124,-23.50636476,-46.58066376,sao paulo,SP
2129,-23.5052157,-46.58945987,sao paulo,SP
2132,-23.49833145,-46.5804145,sao paulo,SP
2110,-23.52188843,-46.59374226,sao paulo,SP
2135,-23.49880797,-46.57363113,sao paulo,SP
2127,-23.50238052,-46.58273095,sao paulo,SP
2114,-23.52285334,-46.59177958,sao paulo,SP
2178,-23.5198384,-46.57027291,são paulo,SP
2177,-23.51111277,-46.56976217,sao paulo,SP
2120,-23.51041663,-46.59421775,são paulo,SP
2161,-23.49126219,-46.57078598,são paulo,SP
2112,-23.51266818,-46.58665534,são paulo,SP
2126,-23.50685808,-46.59162344,sao paulo,SP
2169,-23.51932718,-46.57580723,sao paulo,SP
2123,-23.5107737,-46.57804828,sao paulo,SP
2189,-23.5076215,-46.56616243,são paulo,SP
2128,-23.50399491,-46.59463824,sao paulo,SP
2179,-23.51950161,-46.5673105,sao paulo,SP
2136,-23.49825445,-46.57847266,são paulo,SP
2174,-23.52306256,-46.5718968,sao paulo,SP
2186,-23.51335483,-46.56877347,sao paulo,SP
2137,-23.50176923,-46.57187321,sao paulo,SP
2185,-23.51228361,-46.56782304,sao paulo,SP
2181,-23.52093291,-46.56270977,são paulo,SP
2180,-23.51997319,-46.56594004,sao paulo,SP
2111,-23.51578921,-46.59197639,sao paulo,SP
2187,-23.51512572,-46.5648995,sao paulo,SP
2121,-23.51181354,-46.58921527,sao paulo,SP
2190,-23.50991203,-46.56318689,sao paulo,SP
2139,-23.49413494,-46.5734397,são paulo,SP
2143,-23.5079923,-46.57521707,sao paulo,SP
2122,-23.51317219,-46.58263962,sao paulo,SP
2115,-23.52649951,-46.59188594,sao paulo,SP
2118,-23.51661168,-46.59476458,sao paulo,SP
2125,-23.50795714,-46.58846138,sao paulo,SP
2113,-23.51528796,-46.58734465,sao paulo,SP
2147,-23.49955674,-46.56521996,são paulo,SP
2141,-23.48912566,-46.57563102,são paulo,SP
2170,-23.52538,-46.57609,são paulo,SP
2166,-23.52506009,-46.58373822,sao paulo,SP
2175,-23.51671874,-46.57445726,sao paulo,SP
2168,-23.52017488,-46.57883175,são paulo,SP
2116,-23.52270007,-46.58754576,sao paulo,SP
2145,-23.50149554,-46.56529291,sao paulo,SP
2151,-23.49353773,-46.56649158,sao paulo,SP
2146,-23.50095702,-46.57088226,sao paulo,SP
2144,-23.50507517,-46.57083606,sao paulo,SP
2162,-23.49030645,-46.56191043,são paulo,SP
2142,-23.50986007,-46.57548532,sao paulo,SP
2251,-23.47989462,-46.59551128,sao paulo,SP
2256,-23.47606968,-46.5875754,são paulo,SP
2246,-23.49191348,-46.60200386,sao paulo,SP
2223,-23.47872104,-46.58108916,sao paulo,SP
2225,-23.4803395,-46.57586314,sao paulo,SP
2204,-23.48374059,-46.58985709,sao paulo,SP
2235,-23.47943869,-46.57901479,sao paulo,SP
2245,-23.48347746,-46.60599175,sao paulo,SP
2243,-23.49083844,-46.59835784,sao paulo,SP
2208,-23.48101575,-46.58546645,sao paulo,SP
2222,-23.4846303,-46.57788817,sao paulo,SP
2232,-23.47619014,-46.56109124,sao paulo,SP
2203,-23.49169231,-46.59024532,sao paulo,SP
2250,-23.48654952,-46.59469228,sao paulo,SP
2263,-23.4635328,-46.57715608,são paulo,SP
2238,-23.47019809,-46.56484109,sao paulo,SP
2261,-23.46735987,-46.57715992,sao paulo,SP
2267,-23.4764328,-46.59817822,sao paulo,SP
2270,-23.47279357,-46.59464741,sao paulo,SP
2227,-23.48325358,-46.56925871,sao paulo,SP
2273,-23.45886783,-46.58574627,sao paulo,SP
2244,-23.49047396,-46.60639167,sao paulo,SP
2229,-23.47929118,-46.56787619,sao paulo,SP
2215,-23.49108905,-46.58508188,sao paulo,SP
2259,-23.47160797,-46.58038944,são paulo,SP
2228,-23.48005593,-46.56981691,sao paulo,SP
2254,-23.48511797,-46.59617459,sao paulo,SP
2218,-23.48673525,-46.58408012,sao paulo,SP
2247,-23.48489061,-46.60210519,sao paulo,SP
2226,-23.48463245,-46.57191858,sao paulo,SP
2274,-23.46824405,-46.58503083,sao paulo,SP
2220,-23.49074591,-46.57794384,sao paulo,SP
2217,-23.49033589,-46.58028421,são paulo,SP
2265,-23.47651944,-46.59554968,são paulo,SP
2276,-23.45990238,-46.58449612,sao paulo,SP
2242,-23.48813303,-46.60765996,sao paulo,SP
2269,-23.47459295,-46.59615302,são paulo,SP
2221,-23.48197842,-46.58058753,sao paulo,SP
2279,-23.46048083,-46.5758522,sao paulo,SP
2249,-23.49108295,-46.59518841,sao paulo,SP
2237,-23.4650308,-46.56958829,sao paulo,SP
2206,-23.48707625,-46.58987268,são paulo,SP
2258,-23.47623536,-46.58210665,sao paulo,SP
2236,-23.47463253,-46.56894075,sao paulo,SP
2205,-23.4891017,-46.58859077,sao paulo,SP
2241,-23.49051879,-46.60742306,sao paulo,SP
2219,-23.48793569,-46.58086279,sao paulo,SP
2257,-23.4717242,-46.58517131,sao paulo,SP
2230,-23.48274827,-46.56490113,sao paulo,SP
2210,-23.48653953,-46.57926776,sao paulo,SP
2266,-23.47351768,-46.59417129,são paulo,SP
2211,-23.49702202,-46.59590298,sao paulo,SP
2280,-23.45423291,-46.57383309,sao paulo,SP
2278,-23.46353896,-46.58182067,sao paulo,SP
2264,-23.46306764,-46.57733469,são paulo,SP
2201,-23.48564923,-46.59218589,são paulo,SP
2253,-23.47954552,-46.59692262,sao paulo,SP
2281,-23.44917893,-46.57435095,sao paulo,SP
2248,-23.48220704,-46.60000341,sao paulo,SP
2255,-23.47597013,-46.59145922,sao paulo,SP
2277,-23.46274979,-46.5820018,sao paulo,SP
2272,-23.46986315,-46.58785305,sao paulo,SP
2271,-23.46891225,-46.58807266,sao paulo,SP
2282,-23.44562185,-46.56747062,sao paulo,SP
2224,-23.48135107,-46.56704819,sao paulo,SP
2275,-23.46509715,-46.59050302,sao paulo,SP
2233,-23.4753849,-46.56433956,sao paulo,SP
2209,-23.48506483,-46.58236127,sao paulo,SP
2212,-23.49452516,-46.58841008,sao paulo,SP
2288,-23.432886,-46.5713235,sao paulo,SP
2260,-23.46930258,-46.57550487,sao paulo,SP
2234,-23.47627439,-46.56835101,são paulo,SP
2213,-23.49287325,-46.58454116,sao paulo,SP
2202,-23.49312608,-46.59436598,sao paulo,SP
2262,-23.46668605,-46.57587711,sao paulo,SP
2216,-23.49453401,-46.57783583,sao paulo,SP
2214,-23.49363687,-46.58577018,são paulo,SP
2268,-23.46882275,-46.59341773,sao paulo,SP
2207,-23.48586999,-46.59066163,sao paulo,SP
2239,-23.48392627,-46.60867004,sao paulo,SP
2252,-23.479317,-46.59043405,sao paulo,SP
2240,-23.48014782,-46.60409553,sao paulo,SP
2231,-23.4778562,-46.56407653,são paulo,SP
2290,-23.54329484,-46.63074319,sao paulo,SP
2284,-23.4697032,-46.56868272,sao paulo,SP
2289,-23.41706739,-46.58363162,sao paulo,SP
2286,-23.40858677,-46.57960324,sao paulo,SP
2309,-23.47726214,-46.60430128,sao paulo,SP
2377,-23.45681372,-46.63254373,sao paulo,SP
2371,-23.46086186,-46.61997268,sao paulo,SP
2323,-23.50276001,-46.57361974,sao paulo,SP
2311,-23.46784102,-46.60066695,sao paulo,SP
2374,-23.45646558,-46.620581,sao paulo,SP
2316,-23.46201076,-46.5946763,sao paulo,SP
2366,-23.42982948,-46.59294653,sao paulo,SP
2321,-23.44749412,-46.58851618,sao paulo,SP
2315,-23.4633621,-46.59647162,sao paulo,SP
2330,-23.48506316,-46.61571377,são paulo,SP
2319,-23.45017071,-46.58967747,são paulo,SP
2312,-23.46413522,-46.602395,são paulo,SP
2341,-23.45697642,-46.61452743,são paulo,SP
2334,-23.48496374,-46.61933914,são paulo,SP
2347,-23.46067439,-46.60560913,sao paulo,SP
2365,-23.42478937,-46.58054625,sao paulo,SP
2375,-23.45392257,-46.62613576,sao paulo,SP
2372,-23.45903597,-46.62370415,são paulo,SP
2367,-23.42308723,-46.58728156,sao paulo,SP
2343,-23.47014583,-46.60632378,sao paulo,SP
2306,-23.45244942,-46.60149896,sao paulo,SP
2313,-23.46520665,-46.59849775,sao paulo,SP
2305,-23.48041189,-46.60653306,sao paulo,SP
2340,-23.46690031,-46.61612739,sao paulo,SP
2360,-23.4353461,-46.57802995,sao paulo,SP
2344,-23.46878347,-46.61128697,sao paulo,SP
2348,-23.45991275,-46.61249999,sao paulo,SP
2322,-23.44854206,-46.59796137,sao paulo,SP
2356,-23.45008788,-46.61104019,sao paulo,SP
